anio,trimestre,provincia_id,accesos
2016,1,PR03,29207
2016,1,PR04,91403
2016,1,PR05,68242
2016,1,PR06,998906
2016,1,PR07,92425
2016,1,PR08,154253
2016,1,PR09,46370
2016,1,PR10,84849
2016,1,PR11,89605
2016,1,PR12,24225
2016,1,PR13,116180
2016,1,PR14,121064
2016,1,PR15,111050
2016,1,PR16,54900
2016,1,PR17,170519
2016,1,PR18,42207
2016,1,PR19,54984
2016,1,PR20,54419
2016,1,PR21,610811
2016,1,PR22,98890
2016,1,PR23,38875
2016,1,PR24,129189
2016,2,PR01,2516810
2016,2,PR02,717928
2016,2,PR03,29641
2016,2,PR04,94320
2016,2,PR05,72833
2016,2,PR06,1005624
2016,2,PR07,92714
2016,2,PR08,155110
2016,2,PR09,46382
2016,2,PR10,85293
2016,2,PR11,89647
2016,2,PR12,24385
2016,2,PR13,116159
2016,2,PR14,122257
2016,2,PR15,111025
2016,2,PR16,54753
2016,2,PR17,174345
2016,2,PR18,42414
2016,2,PR19,53963
2016,2,PR20,51724
2016,2,PR21,615206
2016,2,PR22,99076
2016,2,PR23,38086
2016,2,PR24,124686
2016,3,PR01,2521023
2016,3,PR02,716755
2016,3,PR03,29763
2016,3,PR04,90191
2016,3,PR05,72693
2016,3,PR06,1011257
2016,3,PR07,92783
2016,3,PR08,155482
2016,3,PR09,46371
2016,3,PR10,84547
2016,3,PR11,90884
2016,3,PR12,24599
2016,3,PR13,116331
2016,3,PR14,122505
2016,3,PR15,110917
2016,3,PR16,54503
2016,3,PR17,172479
2016,3,PR18,42357
2016,3,PR19,54078
2016,3,PR20,51191
2016,3,PR21,614627
2016,3,PR22,99070
2016,3,PR23,38592
2016,3,PR24,125384
2016,4,PR01,2535921
2016,4,PR02,712478
2016,4,PR03,30124
2016,4,PR04,88363
2016,4,PR05,72721
2016,4,PR06,1009280
2016,4,PR07,93490
2016,4,PR08,155923
2016,4,PR09,46293
2016,4,PR10,81754
2016,4,PR11,100574
2016,4,PR12,25719
2016,4,PR13,116997
2016,4,PR14,123220
2016,4,PR15,110825
2016,4,PR16,54014
2016,4,PR17,172942
2016,4,PR18,39847
2016,4,PR19,54337
2016,4,PR20,50923
2016,4,PR21,617120
2016,4,PR22,98021
2016,4,PR23,38707
2016,4,PR24,124208
2017,1,PR01,2572848
2017,1,PR02,708805
2017,1,PR03,29655
2017,1,PR04,87920
2017,1,PR05,72838
2017,1,PR06,1022544
2017,1,PR07,93332
2017,1,PR08,160444
2017,1,PR09,48699
2017,1,PR10,84116
2017,1,PR11,101390
2017,1,PR12,24415
2017,1,PR13,116672
2017,1,PR14,123346
2017,1,PR15,110781
2017,1,PR16,52481
2017,1,PR17,171113
2017,1,PR18,40819
2017,1,PR19,57104
2017,1,PR20,50321
