anio,trimestre,provincia_id,accesos100hab,accesos100hog
2018,3,PR19,8.92,31.17
2018,3,PR20,12.66,42.55
2018,3,PR21,19.29,61.36
2018,3,PR22,5.59,22.53
2018,3,PR23,20.15,67.95
2018,3,PR24,12.89,52.05
2018,4,PR01,26.4,80.98
2018,4,PR02,57.12,136.67
2018,4,PR03,9.02,35.48
2018,4,PR04,8.08,30.22
2018,4,PR05,19.5,63.61
2018,4,PR06,18.14,59.23
2018,4,PR07,8.77,33.3
2018,4,PR08,15.19,50.79
2018,4,PR09,6.48,25.46
2018,4,PR10,6.92,27.07
2018,4,PR11,21.62,65.62
2018,4,PR12,8.79,33.01
2018,4,PR13,18.42,66.01
2018,4,PR14,8.41,30.89
2018,4,PR15,16.78,56.38
2018,4,PR16,19.07,62.01
2018,4,PR17,9.05,37.35
2018,4,PR18,15.01,58.92
2018,4,PR19,10.4,36.34
2018,4,PR20,12.6,42.35
2018,4,PR21,19.97,63.51
2018,4,PR22,7.71,31.05
2018,4,PR23,20.02,67.52
2018,4,PR24,12.65,51.07
2019,1,PR01,20.58,63.0
2019,1,PR02,52.1,124.82
2019,1,PR03,8.81,34.64
2019,1,PR04,7.88,29.5
2019,1,PR05,14.67,47.84
2019,1,PR06,17.69,57.78
2019,1,PR07,8.58,32.59
2019,1,PR08,14.88,49.78
2019,1,PR09,6.32,24.81
2019,1,PR10,6.82,26.68
2019,1,PR11,18.59,56.42
2019,1,PR12,8.49,31.89
2019,1,PR13,12.28,43.99
2019,1,PR14,8.18,30.04
2019,1,PR15,12.8,42.99
2019,1,PR16,13.66,44.41
2019,1,PR17,8.78,36.23
2019,1,PR18,11.16,43.79
2019,1,PR19,8.58,29.99
2019,1,PR20,9.66,32.47
2019,1,PR21,19.58,62.26
2019,1,PR22,7.55,30.43
2019,1,PR23,15.01,50.62
2019,1,PR24,12.39,50.03
2019,2,PR01,16.33,49.88
2019,2,PR02,37.11,89.03
2019,2,PR03,8.52,33.51
2019,2,PR04,7.69,28.78
2019,2,PR05,14.17,46.22
2019,2,PR06,17.33,56.6
2019,2,PR07,8.42,31.96
2019,2,PR08,14.59,48.8
2019,2,PR09,6.13,24.09
2019,2,PR10,6.73,26.31
2019,2,PR11,18.19,55.2
2019,2,PR12,8.14,30.56
2019,2,PR13,11.82,42.35
2019,2,PR14,7.97,29.27
2019,2,PR15,12.48,41.94
2019,2,PR16,13.14,42.71
2019,2,PR17,8.52,35.18
2019,2,PR18,10.89,42.75
2019,2,PR19,6.68,23.33
2019,2,PR20,9.27,31.14
2019,2,PR21,19.14,60.87
2019,2,PR22,7.39,29.77
2019,2,PR23,14.36,48.44
2019,2,PR24,12.05,48.63
2019,3,PR01,19.63,59.81
2019,3,PR02,48.73,117.04
2019,3,PR03,7.92,31.15
2019,3,PR04,7.39,27.65
2019,3,PR05,13.75,44.84
2019,3,PR06,16.42,53.64
2019,3,PR07,8.19,31.11
2019,3,PR08,14.12,47.24
2019,3,PR09,5.98,23.51
2019,3,PR10,6.56,25.66
2019,3,PR11,17.92,54.38
2019,3,PR12,7.59,28.52
2019,3,PR13,11.44,40.98
2019,3,PR14,7.67,28.16
2019,3,PR15,12.23,41.09
2019,3,PR16,12.74,41.41
2019,3,PR17,8.07,33.31
2019,3,PR18,10.65,41.81
2019,3,PR19,7.81,27.28
2019,3,PR20,8.94,30.05
2019,3,PR21,18.44,58.65
2019,3,PR22,7.15,28.82
2019,3,PR23,14.8,49.92
2019,3,PR24,11.46,46.26
2019,4,PR01,19.21,58.41
2019,4,PR02,48.12,115.69
2019,4,PR03,7.53,29.59
2019,4,PR04,7.26,27.16
2019,4,PR05,13.34,43.53
2019,4,PR06,15.96,52.13
2019,4,PR07,8.07,30.64
2019,4,PR08,13.89,46.46
2019,4,PR09,5.86,23.04
2019,4,PR10,6.46,25.25
2019,4,PR11,20.0,60.7
2019,4,PR12,7.26,27.27
2019,4,PR13,11.05,39.6
2019,4,PR14,7.48,27.47
2019,4,PR15,11.98,40.25
2019,4,PR16,12.28,39.92
2019,4,PR17,7.84,32.38
2019,4,PR18,10.37,40.72
2019,4,PR19,7.49,26.17
2019,4,PR20,8.44,28.36
2019,4,PR21,18.25,58.05
2019,4,PR22,7.03,28.34
2019,4,PR23,14.2,47.91
2019,4,PR24,11.13,44.95
2020,1,PR01,18.65,56.57
2020,1,PR02,47.36,114.02
2020,1,PR03,7.18,28.23
2020,1,PR04,7.0,26.19
2020,1,PR05,12.78,41.7
2020,1,PR06,15.32,50.03
2020,1,PR07,7.84,29.78
2020,1,PR08,13.52,45.22
2020,1,PR09,5.73,22.5
2020,1,PR10,6.25,24.43
2020,1,PR11,19.79,60.06
2020,1,PR12,6.91,25.96
2020,1,PR13,10.62,38.07
2020,1,PR14,7.23,26.54
2020,1,PR15,11.72,39.37
2020,1,PR16,11.86,38.55
2020,1,PR17,7.58,31.29
2020,1,PR18,10.08,39.59
2020,1,PR19,7.18,25.08
2020,1,PR20,8.1,27.21
2020,1,PR21,17.71,56.31
2020,1,PR22,6.9,27.79
2020,1,PR23,13.69,46.18
2020,1,PR24,10.81,43.63
2020,2,PR01,14.19,42.94
2020,2,PR02,30.89,74.44
