anio,trimestre,provincia_id,tv_sus_100hab,tv_sus_100hog
2018,3,PR05,14.97,48.85
2018,3,PR06,29.19,95.33
2018,3,PR07,9.18,34.85
2018,3,PR08,15.19,50.81
2018,3,PR09,10.05,39.48
2018,3,PR10,12.15,47.51
2018,3,PR11,23.59,71.61
2018,3,PR12,6.25,23.49
2018,3,PR13,6.02,21.56
2018,3,PR14,10.95,40.22
2018,3,PR15,12.4,41.66
2018,3,PR16,13.04,42.4
2018,3,PR17,12.65,52.22
2018,3,PR18,5.89,23.1
2018,3,PR19,11.13,38.9
2018,3,PR20,16.26,54.66
2018,3,PR21,18.09,57.53
2018,3,PR22,11.34,45.7
2018,3,PR23,27.95,94.26
2018,3,PR24,7.59,30.64
2018,4,PR01,15.47,47.45
2018,4,PR02,24.46,58.54
2018,4,PR03,8.19,32.19
2018,4,PR04,8.43,31.54
2018,4,PR05,15.03,49.04
2018,4,PR06,28.56,93.29
2018,4,PR07,9.25,35.13
2018,4,PR08,15.25,51.0
2018,4,PR09,9.86,38.73
2018,4,PR10,13.03,50.96
2018,4,PR11,23.02,69.86
2018,4,PR12,6.45,24.21
2018,4,PR13,6.0,21.48
2018,4,PR14,11.12,40.84
2018,4,PR15,12.3,41.33
2018,4,PR16,12.46,40.5
2018,4,PR17,12.67,52.3
2018,4,PR18,5.68,22.29
2018,4,PR19,11.07,38.7
2018,4,PR20,16.21,54.46
2018,4,PR21,17.15,54.55
2018,4,PR22,10.93,44.06
2018,4,PR23,27.7,93.44
2018,4,PR24,7.54,30.44
2019,1,PR01,15.52,47.51
2019,1,PR02,25.7,61.57
2019,1,PR03,8.07,31.71
2019,1,PR04,9.01,33.71
2019,1,PR05,14.98,48.87
2019,1,PR06,28.5,93.09
2019,1,PR07,9.15,34.75
2019,1,PR08,15.36,51.36
2019,1,PR09,9.48,37.24
2019,1,PR10,11.57,45.25
2019,1,PR11,22.95,69.67
2019,1,PR12,6.71,25.19
2019,1,PR13,7.16,25.65
2019,1,PR14,11.07,40.64
2019,1,PR15,12.26,41.2
2019,1,PR16,12.26,39.87
2019,1,PR17,12.48,51.51
2019,1,PR18,5.72,22.47
2019,1,PR19,10.71,37.44
2019,1,PR20,16.07,54.01
2019,1,PR21,17.14,54.52
2019,1,PR22,11.32,45.61
2019,1,PR23,27.33,92.18
2019,1,PR24,7.11,28.71
2019,2,PR01,15.48,47.28
2019,2,PR02,26.39,63.29
2019,2,PR03,8.04,31.61
2019,2,PR04,9.11,34.08
2019,2,PR05,14.42,47.05
2019,2,PR06,28.6,93.42
2019,2,PR07,9.76,37.08
2019,2,PR08,15.42,51.58
2019,2,PR09,10.19,40.03
2019,2,PR10,11.62,45.46
2019,2,PR11,23.4,71.03
2019,2,PR12,6.67,25.07
2019,2,PR13,7.1,25.43
2019,2,PR14,11.35,41.68
2019,2,PR15,12.09,40.62
2019,2,PR16,14.75,47.94
2019,2,PR17,13.2,54.51
2019,2,PR18,5.61,22.04
2019,2,PR19,10.68,37.32
2019,2,PR20,14.76,49.61
2019,2,PR21,17.2,54.69
2019,2,PR22,11.26,45.38
2019,2,PR23,27.13,91.52
2019,2,PR24,7.02,28.35
2019,3,PR01,15.74,47.95
2019,3,PR02,28.07,67.41
2019,3,PR03,9.9,38.92
2019,3,PR04,9.34,34.93
2019,3,PR05,11.52,37.57
2019,3,PR06,29.61,96.72
2019,3,PR07,9.8,37.21
2019,3,PR08,15.73,52.61
2019,3,PR09,9.83,38.61
2019,3,PR10,11.97,46.81
2019,3,PR11,23.21,70.43
2019,3,PR12,5.16,19.39
2019,3,PR13,5.27,18.87
2019,3,PR14,11.48,42.16
2019,3,PR15,11.78,39.58
2019,3,PR16,15.07,49.0
2019,3,PR17,13.37,55.2
2019,3,PR18,3.98,15.61
2019,3,PR19,9.85,34.42
2019,3,PR20,13.42,45.11
2019,3,PR21,18.66,59.34
2019,3,PR22,9.24,37.25
2019,3,PR23,25.23,85.1
2019,3,PR24,6.55,26.44
2019,4,PR01,16.19,49.23
2019,4,PR02,29.17,70.13
2019,4,PR03,9.93,39.03
2019,4,PR04,9.55,35.71
2019,4,PR05,11.4,37.2
2019,4,PR06,29.79,97.3
2019,4,PR07,9.84,37.38
2019,4,PR08,15.99,53.48
2019,4,PR09,9.82,38.59
2019,4,PR10,12.42,48.55
2019,4,PR11,22.72,68.97
2019,4,PR12,4.86,18.26
2019,4,PR13,5.17,18.54
2019,4,PR14,11.53,42.32
2019,4,PR15,11.65,39.15
2019,4,PR16,14.9,48.46
2019,4,PR17,13.38,55.23
2019,4,PR18,3.8,14.93
2019,4,PR19,9.6,33.53
2019,4,PR20,13.31,44.72
2019,4,PR21,18.69,59.45
2019,4,PR22,9.24,37.24
2019,4,PR23,24.32,82.03
2019,4,PR24,6.74,27.21
2020,1,PR01,16.9,51.27
2020,1,PR02,24.12,58.06
2020,1,PR03,9.5,37.33
2020,1,PR04,9.54,35.7
2020,1,PR05,10.95,35.73
2020,1,PR06,28.36,92.63
2020,1,PR07,9.85,37.41
2020,1,PR08,15.96,53.38
2020,1,PR09,9.82,38.56
2020,1,PR10,12.71,49.72
2020,1,PR11,22.35,67.85
2020,1,PR12,4.81,18.08
2020,1,PR13,5.2,18.63
2020,1,PR14,11.41,41.88
2020,1,PR15,11.85,39.8
2020,1,PR16,14.75,47.97
2020,1,PR17,13.19,54.45
2020,1,PR18,3.89,15.28
2020,1,PR19,9.41,32.9
2020,1,PR20,11.94,40.14
2020,1,PR21,19.02,60.49
2020,1,PR22,9.12,36.76
