anio,trimestre,provincia_id,tecnologia_id,accesos
2019,2,PR07,TEC1,53835
2019,2,PR08,TEC1,97081
2019,2,PR09,TEC1,21916
2019,2,PR10,TEC1,33022
2019,2,PR11,TEC1,19471
2019,2,PR12,TEC1,15014
2019,2,PR13,TEC1,148673
2019,2,PR14,TEC1,55373
2019,2,PR15,TEC1,43420
2019,2,PR16,TEC1,67841
2019,2,PR17,TEC1,68827
2019,2,PR18,TEC1,51680
2019,2,PR19,TEC1,11130
2019,2,PR20,TEC1,10665
2019,2,PR21,TEC1,325420
2019,2,PR22,TEC1,24393
2019,2,PR23,TEC1,19790
2019,2,PR24,TEC1,153121
2019,3,PR01,TEC1,1277249
2019,3,PR02,TEC1,300288
2019,3,PR03,TEC1,24349
2019,3,PR04,TEC1,50416
2019,3,PR05,TEC1,37298
2019,3,PR06,TEC1,307780
2019,3,PR07,TEC1,53344
2019,3,PR08,TEC1,94947
2019,3,PR09,TEC1,21777
2019,3,PR10,TEC1,33110
2019,3,PR11,TEC1,19469
2019,3,PR12,TEC1,14390
2019,3,PR13,TEC1,148640
2019,3,PR14,TEC1,54493
2019,3,PR15,TEC1,43347
2019,3,PR16,TEC1,67478
2019,3,PR17,TEC1,65799
2019,3,PR18,TEC1,51670
2019,3,PR19,TEC1,13037
2019,3,PR20,TEC1,10663
2019,3,PR21,TEC1,319396
2019,3,PR22,TEC1,24556
2019,3,PR23,TEC1,19790
2019,3,PR24,TEC1,150918
2019,4,PR01,TEC1,720011
2019,4,PR02,TEC1,196938
2019,4,PR03,TEC1,22999
2019,4,PR04,TEC1,48661
2019,4,PR05,TEC1,47045
2019,4,PR06,TEC1,296872
2019,4,PR07,TEC1,52525
2019,4,PR08,TEC1,92981
2019,4,PR09,TEC1,21567
2019,4,PR10,TEC1,32949
2019,4,PR11,TEC1,15457
2019,4,PR12,TEC1,13738
2019,4,PR13,TEC1,96678
2019,4,PR14,TEC1,53116
2019,4,PR15,TEC1,29826
2019,4,PR16,TEC1,49747
2019,4,PR17,TEC1,63272
2019,4,PR18,TEC1,41360
2019,4,PR19,TEC1,8569
2019,4,PR20,TEC1,13264
2019,4,PR21,TEC1,312072
2019,4,PR22,TEC1,24682
2019,4,PR23,TEC1,13261
2019,4,PR24,TEC1,146985
2020,1,PR01,TEC1,673237
2020,1,PR02,TEC1,184494
2020,1,PR03,TEC1,21945
2020,1,PR04,TEC1,46356
2020,1,PR05,TEC1,45763
2020,1,PR06,TEC1,286168
2020,1,PR07,TEC1,51126
2020,1,PR08,TEC1,90368
2020,1,PR09,TEC1,21068
2020,1,PR10,TEC1,32066
2020,1,PR11,TEC1,8553
2020,1,PR12,TEC1,13076
2020,1,PR13,TEC1,91955
2020,1,PR14,TEC1,51458
2020,1,PR15,TEC1,29305
2020,1,PR16,TEC1,47756
2020,1,PR17,TEC1,60426
2020,1,PR18,TEC1,40092
2020,1,PR19,TEC1,8301
2020,1,PR20,TEC1,12845
2020,1,PR21,TEC1,302366
2020,1,PR22,TEC1,24695
2020,1,PR23,TEC1,12854
2020,1,PR24,TEC1,143184
2020,2,PR01,TEC1,661272
2020,2,PR02,TEC1,178896
2020,2,PR03,TEC1,26968
2020,2,PR04,TEC1,46816
2020,2,PR05,TEC1,45761
2020,2,PR06,TEC1,282858
2020,2,PR07,TEC1,51248
2020,2,PR08,TEC1,89391
2020,2,PR09,TEC1,21805
2020,2,PR10,TEC1,32705
2020,2,PR11,TEC1,8551
2020,2,PR12,TEC1,16885
2020,2,PR13,TEC1,91904
2020,2,PR14,TEC1,50792
2020,2,PR15,TEC1,30256
2020,2,PR16,TEC1,49756
2020,2,PR17,TEC1,59502
2020,2,PR18,TEC1,40092
2020,2,PR19,TEC1,8401
2020,2,PR20,TEC1,12845
2020,2,PR21,TEC1,299974
2020,2,PR22,TEC1,25917
2020,2,PR23,TEC1,12854
2020,2,PR24,TEC1,150084
2020,3,PR01,TEC1,653930
2020,3,PR02,TEC1,170375
2020,3,PR03,TEC1,26868
2020,3,PR04,TEC1,45745
2020,3,PR05,TEC1,45761
2020,3,PR06,TEC1,276360
2020,3,PR07,TEC1,50858
2020,3,PR08,TEC1,87892
2020,3,PR09,TEC1,21790
2020,3,PR10,TEC1,32611
2020,3,PR11,TEC1,9015
2020,3,PR12,TEC1,17346
2020,3,PR13,TEC1,91908
2020,3,PR14,TEC1,50195
2020,3,PR15,TEC1,30222
2020,3,PR16,TEC1,49530
2020,3,PR17,TEC1,58216
2020,3,PR18,TEC1,40092
2020,3,PR19,TEC1,8401
2020,3,PR20,TEC1,12845
2020,3,PR21,TEC1,295051
2020,3,PR22,TEC1,26419
2020,3,PR23,TEC1,12854
2020,3,PR24,TEC1,149605
2020,4,PR01,TEC1,635651
2020,4,PR02,TEC1,163060
2020,4,PR03,TEC1,26870
2020,4,PR04,TEC1,44332
2020,4,PR05,TEC1,45703
2020,4,PR06,TEC1,267396
2020,4,PR07,TEC1,50102
2020,4,PR08,TEC1,85683
2020,4,PR09,TEC1,21264
2020,4,PR10,TEC1,32850
2020,4,PR11,TEC1,9009
2020,4,PR12,TEC1,17513
2020,4,PR13,TEC1,91842
2020,4,PR14,TEC1,49462
2020,4,PR15,TEC1,30468
2020,4,PR16,TEC1,48991
2020,4,PR17,TEC1,56659
2020,4,PR18,TEC1,40072
2020,4,PR19,TEC1,8417
2020,4,PR20,TEC1,12347
2020,4,PR21,TEC1,287271
2020,4,PR22,TEC1,26812
2020,4,PR23,TEC1,12853
2020,4,PR24,TEC1,149322
2021,1,PR01,TEC1,629679
2021,1,PR02,TEC1,159805
2021,1,PR03,TEC1,26316
2021,1,PR04,TEC1,43214
2021,1,PR05,TEC1,45501
2021,1,PR06,TEC1,260350
2021,1,PR07,TEC1,49160
2021,1,PR08,TEC1,83688
2021,1,PR09,TEC1,20663
2021,1,PR10,TEC1,32254
2021,1,PR11,TEC1,8946
2021,1,PR12,TEC1,17363
2021,1,PR13,TEC1,91844
2021,1,PR14,TEC1,48292
2021,1,PR15,TEC1,30223
2021,1,PR16,TEC1,48777
2021,1,PR17,TEC1,54768
2021,1,PR18,TEC1,40072
2021,1,PR19,TEC1,8417
2021,1,PR20,TEC1,12347
2021,1,PR21,TEC1,277012
2021,1,PR22,TEC1,26468
2021,1,PR23,TEC1,12853
2021,1,PR24,TEC1,147199
2021,2,PR01,TEC1,603255
2021,2,PR02,TEC1,148989
2021,2,PR03,TEC1,20305
2021,2,PR04,TEC1,39826
2021,2,PR05,TEC1,49271
2021,2,PR06,TEC1,239780
2021,2,PR07,TEC1,46648
2021,2,PR08,TEC1,77836
2021,2,PR09,TEC1,19571
2021,2,PR10,TEC1,24738
2021,2,PR11,TEC1,9017
2021,2,PR12,TEC1,11627
2021,2,PR13,TEC1,91503
2021,2,PR14,TEC1,44960
2021,2,PR15,TEC1,30083
2021,2,PR16,TEC1,48189
2021,2,PR17,TEC1,51396
2021,2,PR18,TEC1,40072
2021,2,PR19,TEC1,8417
2021,2,PR20,TEC1,12347
2021,2,PR21,TEC1,256741
2021,2,PR22,TEC1,20734
2021,2,PR23,TEC1,12853
2021,2,PR24,TEC1,110429
2021,3,PR01,TEC1,585729
2021,3,PR02,TEC1,142902
2021,3,PR03,TEC1,18413
2021,3,PR04,TEC1,38258
2021,3,PR05,TEC1,49269
2021,3,PR06,TEC1,229275
2021,3,PR07,TEC1,44805
2021,3,PR08,TEC1,74443
2021,3,PR09,TEC1,18093
2021,3,PR10,TEC1,23554
2021,3,PR11,TEC1,9015
2021,3,PR12,TEC1,11329
2021,3,PR13,TEC1,91474
2021,3,PR14,TEC1,43230
2021,3,PR15,TEC1,29650
2021,3,PR16,TEC1,47934
2021,3,PR17,TEC1,49212
2021,3,PR18,TEC1,40072
2021,3,PR19,TEC1,8417
2021,3,PR20,TEC1,12347
2021,3,PR21,TEC1,245929
2021,3,PR22,TEC1,19939
2021,3,PR23,TEC1,12853
2021,3,PR24,TEC1,104489
2021,4,PR01,TEC1,426325
2021,4,PR02,TEC1,111360
2021,4,PR03,TEC1,16385
2021,4,PR04,TEC1,35548
2021,4,PR05,TEC1,46361
2021,4,PR06,TEC1,212011
2021,4,PR07,TEC1,42523
2021,4,PR08,TEC1,70459
2021,4,PR09,TEC1,17211
2021,4,PR10,TEC1,22330
2021,4,PR11,TEC1,8175
2021,4,PR12,TEC1,10387
2021,4,PR13,TEC1,59842
2021,4,PR14,TEC1,41778
2021,4,PR15,TEC1,29175
2021,4,PR16,TEC1,42037
2021,4,PR17,TEC1,46972
2021,4,PR18,TEC1,35868
2021,4,PR19,TEC1,8472
2021,4,PR20,TEC1,10790
2021,4,PR21,TEC1,233427
2021,4,PR22,TEC1,19032
2021,4,PR23,TEC1,13317
2021,4,PR24,TEC1,97830
2022,1,PR01,TEC1,392045
2022,1,PR02,TEC1,102290
2022,1,PR03,TEC1,14181
2022,1,PR04,TEC1,32391
2022,1,PR05,TEC1,44133
2022,1,PR06,TEC1,195610
2022,1,PR07,TEC1,40462
2022,1,PR08,TEC1,67159
2022,1,PR09,TEC1,16397
2022,1,PR10,TEC1,21307
2022,1,PR11,TEC1,8003
2022,1,PR12,TEC1,9103
2022,1,PR13,TEC1,49464
2022,1,PR14,TEC1,39147
2022,1,PR15,TEC1,28443
2022,1,PR16,TEC1,38662
2022,1,PR17,TEC1,44714
2022,1,PR18,TEC1,34038
2022,1,PR19,TEC1,7987
2022,1,PR20,TEC1,10537
2022,1,PR21,TEC1,213486
