anio,trimestre,provincia_id,Accesos_cada_100_hogares,Accesos_cada_100_habitantes
2018,3,PR01,64.44,20.96
2018,3,PR02,108.45,45.38
2018,3,PR03,32.92,8.37
2018,3,PR04,32.28,8.63
2018,3,PR05,56.39,17.29
2018,3,PR06,64.24,19.67
2018,3,PR07,34.25,9.02
2018,3,PR08,50.22,15.02
2018,3,PR09,29.58,7.53
2018,3,PR10,23.26,5.95
2018,3,PR11,71.75,23.64
2018,3,PR12,50.73,13.51
2018,3,PR13,37.99,10.6
2018,3,PR14,32.1,8.74
2018,3,PR15,60.49,18.01
2018,3,PR16,50.54,15.55
2018,3,PR17,39.43,9.55
2018,3,PR18,33.05,8.42
2018,3,PR19,52.35,14.98
2018,3,PR20,32.73,9.74
2018,3,PR21,63.41,19.94
2018,3,PR22,36.25,9.0
2018,3,PR23,92.77,27.51
2018,3,PR24,41.68,10.33
2018,4,PR01,64.6,21.06
2018,4,PR02,108.27,45.25
2018,4,PR03,32.23,8.2
2018,4,PR04,32.59,8.71
2018,4,PR05,42.61,13.06
2018,4,PR06,65.09,19.93
2018,4,PR07,34.57,9.1
2018,4,PR08,54.37,16.26
2018,4,PR09,29.74,7.57
2018,4,PR10,46.53,11.9
2018,4,PR11,73.49,24.22
2018,4,PR12,50.35,13.4
2018,4,PR13,37.76,10.54
2018,4,PR14,34.45,9.38
2018,4,PR15,59.07,17.58
2018,4,PR16,51.86,15.95
2018,4,PR17,39.8,9.64
2018,4,PR18,31.9,8.13
2018,4,PR19,67.55,19.33
2018,4,PR20,23.69,7.05
2018,4,PR21,65.59,20.62
2018,4,PR22,37.4,9.28
2018,4,PR23,93.59,27.75
2018,4,PR24,41.76,10.34
2019,1,PR01,66.24,21.64
2019,1,PR02,109.2,45.58
2019,1,PR03,32.19,8.19
2019,1,PR04,32.64,8.72
2019,1,PR05,43.0,13.18
2019,1,PR06,65.52,20.06
2019,1,PR07,35.13,9.25
2019,1,PR08,56.79,16.98
2019,1,PR09,29.68,7.55
2019,1,PR10,46.41,11.87
2019,1,PR11,76.35,25.16
2019,1,PR12,50.18,13.36
2019,1,PR13,37.66,10.51
2019,1,PR14,36.26,9.88
2019,1,PR15,58.88,17.53
